Implementation,Configuration,Time (s),Speedup,Efficiency (%)
Serial,N/A,5.466073,1.0,100.0
OpenMP,1 threads,69.958715,0.07813283877498321,7.813283877498321
OpenMP,2 threads,40.439168,0.13516779079134367,6.758389539567183
OpenMP,4 threads,31.538713,0.17331312790093875,4.332828197523469
OpenMP,8 threads,23.24425,0.23515807135097924,2.9394758918872403
OpenMP,16 threads,18.999776,0.2876914443622914,1.798071527264321
MPI,1 processes,5.248043,1.0415450102066617,104.15450102066617
MPI,2 processes,2.377392,2.299188774926474,114.95943874632371
MPI,4 processes,1.247959,4.380010080459374,109.50025201148435
MPI,8 processes,0.855035,6.392806142438613,79.91007678048267
